id,AUS_MORT_DTH,Density,Judaism,Education,Marriage,DEATHS
1,0,NaN,NaN,NaN,NaN,0
2,14.8543812,266.9919364,0.00075643,0.0501765,0.062531518,3
3,84.02318573,151.2201649,0.001495357,0.095938926,0.057059657,79
4,54.6482393,586.2585952,0.001716711,0.22048817,0.024065173,30
5,155.0404617,150.7993445,0.000342173,0.105004277,0.048588537,152
6,37.72912641,217.0206623,0.001709819,0.134831461,0.04640938,40
7,89.29764344,125.5688232,0.001783644,0.211986088,0.030500312,75
8,69.31304928,89.52138254,0.001450443,0.121998388,0.059951652,83
9,82.9067518,125.2732712,0,0.064413634,0.064124783,82
10,48.01776058,463.266086,0.001123848,0.208496291,0.024005394,39
11,207.8402409,124.7881541,0.002814621,0.215222085,0.039636027,196
12,0.008306863,1805.735904,0,0,0,0
13,72.27526956,136.6719219,0.00040494,0.114699332,0.055274347,43
14,62.15948462,121.1400005,0.002390438,0.321646746,0.033466135,51
15,98.47886554,160.7451499,0.001958307,0.213265951,0.051484523,99
16,71.06233012,133.3195799,0,0.069347688,0.058159172,87
17,140.4711601,120.3307497,0.001242383,0.275986511,0.045613205,176
18,142.8678879,132.0030713,0.000159075,0.087120208,0.048199799,120
19,77.71334556,186.3129157,0.001381311,0.135644727,0.061123006,65
20,36.03617796,304.9990488,0,0.086161405,0.035483577,22
21,26.01255989,192.1379526,0,0.053221289,0.067226891,20
22,101.923541,142.4106724,0.001515673,0.220392697,0.043747847,80
23,110.5724214,126.0712194,0.001362984,0.163773314,0.03902439,90
24,107.7113461,93.0078433,0.000598922,0.076761829,0.05569974,89
25,3.242537723,399.6869461,0,0.024691358,0.022376543,6
26,133.2961936,152.067358,0.002072028,0.17775037,0.036704489,109
27,0.002441549,1228.72818,0,0,0,0
28,25.73443533,176.0287312,0.001324503,0.189403974,0.04392936,22
29,138.9542017,90.76371815,0.112036156,0.366397082,0.043926419,92
30,63.36604747,331.0447919,0.000333699,0.058826334,0.038804405,55
31,40.48387821,154.8517651,0,0.077364811,0.053278035,61
32,94.80834323,134.7455252,0.000391389,0.050645793,0.055655577,89
33,57.05365448,111.0183048,0,0.078307547,0.05367856,77
34,12.04099238,216.7595426,0,0.049808429,0.063218391,11
35,45.48902599,140.2755909,0,0.051089171,0.061745808,50
36,102.2943583,159.4711602,0.00306504,0.288665482,0.050144057,86
37,120.6048078,150.4749299,0.003195944,0.252975534,0.028653295,125
38,77.6159967,124.2398527,0.002799959,0.315358291,0.028829203,77
39,60.13057693,134.0915124,0.00037207,0.093017487,0.054322213,66
40,240.4064185,87.11081897,0.000716264,0.067758571,0.060643683,296
41,21.03772996,310.7274413,0.000458926,0.058742542,0.039926572,13
42,19.34697389,137.3341389,0,0.280767783,0.056454648,17
43,166.9942555,144.1426828,0.000623156,0.109135474,0.04411948,143
44,23.15214462,147.0274161,0,0.077555817,0.077555817,29
45,125.532517,113.1977622,0.000281492,0.039901478,0.067417312,154
46,92.3704947,181.129267,0.000537924,0.073157612,0.050206204,106
47,0,NaN,NaN,NaN,NaN,0
48,16.35779533,180.2810183,0,0.04577823,0.05256019,22
49,119.2798258,86.57792658,0.000774668,0.090055195,0.064587973,127
50,12.95342069,480.1048425,0,0.057083132,0.064158225,30
51,130.6283634,154.1089505,0.000695445,0.226665342,0.033480701,151
52,61.79057448,164.0217798,0.000394672,0.199111988,0.054563394,46
